res_id,name,address,mobile_url,cuisines,review_count,rating
steak-n-shake-champaign,Steak 'n Shake,"1709 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/steak-n-shake-champaign,"[Fast Food,hotdogs,Burgers,burgers]",22,3
jets-pizza-champaign,Jet's Pizza,"512 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/jets-pizza-champaign,"[Pizza,pizza]",25,3.5
noodles-and-company-champaign,Noodles and Company,"528 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/noodles-and-company-champaign,"[Asian Fusion,asianfusion]",26,3
olive-garden-italian-restaurant-champaign-2,Olive Garden Italian Restaurant,"30 E Anthony Dr,Champaign, IL 61820",http://m.yelp.com/biz/olive-garden-italian-restaurant-champaign-2,"[Italian,italian]",29,3
the-apple-dumpling-urbana,The Apple Dumpling,"2014 High Cross Rd,Urbana, IL 61802",http://m.yelp.com/biz/the-apple-dumpling-urbana,"[American (Traditional),tradamerican]",17,3.5
cafe-sababa-champaign,Cafe Sababa,"503 E. John St,Champaign, IL 61820",http://m.yelp.com/biz/cafe-sababa-champaign,"[Kosher,kosher,Vegetarian,vegetarian,Pizza,pizza]",2,5
el-toro-champaign-2,El Toro,"723 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/el-toro-champaign-2,"[Mexican,mexican]",50,3.5
jupiters-at-the-crossing-champaign,Jupiter's At The Crossing,"2511 Village Green Pl,Champaign, IL 61822",http://m.yelp.com/biz/jupiters-at-the-crossing-champaign,"[Pizza,pizza,Arcades,arcades,Pool Halls,poolhalls]",33,3
sushi-ichiban-champaign,Sushi Ichiban,"619 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/sushi-ichiban-champaign,"[Sushi Bars,sushi,Japanese,japanese]",31,3
tang-dynasty-urbana-2,Tang Dynasty,"140 Lincoln Sq Mall,Urbana, IL 61801",http://m.yelp.com/biz/tang-dynasty-urbana-2,"[Chinese,chinese]",3,5
black-rock-pizza-urbana-2,Black Rock Pizza,"300 S Broadway Ave,Urbana, IL 61801",http://m.yelp.com/biz/black-rock-pizza-urbana-2,"[Pizza,pizza]",3,4
joes-brewery-champaign,Joe's Brewery,"706 S 5th St,Champaign, IL 61820",http://m.yelp.com/biz/joes-brewery-champaign,"[Bars,bars,Burgers,burgers,American (Traditional),tradamerican]",20,3
panera-bread-champaign-3,Panera Bread,"616 E Green Street,Champaign, IL 61820",http://m.yelp.com/biz/panera-bread-champaign-3,"[Sandwiches,sandwiches,Salad,salad,Soup,soup]",10,3
